,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,popularity,decade,duration_min
count,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0,39338.0
mean,0.5485407951598963,0.5961034474045452,5.217296252986934,-9.651000813462808,0.6947989221617774,0.07249189587676039,0.34733717568076666,0.14003068248106157,0.2030645126849357,0.5536213353500432,119.03658884539124,234568.71091565408,3.9032233463826325,40.062718129798164,10.447252020946667,0.5158116833596014,1952.8222075346994,3.909478515260902
std,0.1729756576118172,0.23871707937808906,3.5374821114859714,4.297962999176803,0.4604983937102424,0.08346221656126446,0.3291354425916791,0.2892624097634995,0.17368287846576486,0.261272114706392,27.678312677870228,113709.76417741814,0.4019859209899532,18.8718439418887,4.63306193911534,0.4997562802542007,32.62170557768564,1.8951627362903023
min,0.0576,0.000276,0.0,-22.488,0.0,0.022,0.0,0.0,0.013,0.0,39.369,15168.0,0.0,0.0,0.0,0.0,1900.0,0.2528
25%,0.433,0.417,2.0,-12.409,0.0,0.0335,0.0362,0.0,0.0942,0.346,97.92625000000001,174091.5,4.0,27.59156,8.0,0.0,1910.0,2.901525
50%,0.559,0.614,5.0,-9.057,1.0,0.0432,0.24,8.98e-05,0.134,0.569,117.7025,218573.0,4.0,35.819860000000006,10.0,1.0,1960.0,3.6428833333333333
75%,0.674,0.793,8.0,-6.291,1.0,0.0704,0.641,0.036975,0.264,0.773,136.02575000000002,266703.5,4.0,47.562855,12.0,1.0,1980.0,4.445058333333333
max,0.988,1.0,11.0,2.291,1.0,0.96,0.996,1.0,0.999,0.996,195.063,3816373.0,5.0,433.182,159.0,1.0,1990.0,63.60621666666667
