popularity,tempo,energy,danceability
0,119.773,0.508,0.472
0,115.251,0.747,0.62
1,134.134,0.672,0.718
0,80.988,0.261,0.645
0,111.743,0.35,0.71
1,130.1,0.602,0.741
0,126.294,0.874,0.535
0,89.917,0.149,0.421
1,116.685,0.902,0.463
0,89.877,0.457,0.326
1,156.664,0.754,0.563
0,85.61,0.398,0.512
1,107.425,0.578,0.483
1,123.148,0.701,0.496
1,112.367,0.608,0.552
1,100.939,0.13,0.38
1,131.7,0.363,0.593
1,177.452,0.831,0.475
1,61.698,0.426,0.589
0,80.602,0.196,0.503
1,178.879,0.459,0.222
1,128.995,0.644,0.461
0,103.722,0.286,0.38
0,178.089,0.477,0.34
1,153.174,0.677,0.553
1,135.241,0.544,0.708
0,88.944,0.157,0.258
1,132.284,0.541,0.604
0,126.236,0.712,0.432
0,177.895,0.195,0.105
0,114.392,0.454,0.472
0,59.856,0.126,0.377
1,96.429,0.364,0.408
1,123.455,0.435,0.725
1,155.252,0.479,0.407
0,79.95,0.128,0.247
0,108.017,0.368,0.45
1,173.305,0.476,0.318
0,126.595,0.5,0.518
0,62.37,0.185,0.335
1,130.922,0.671,0.662
1,120.992,0.577,0.536
1,125.683,0.488,0.51
1,149.319,0.567,0.71
0,121.076,0.139,0.204
1,113.864,0.758,0.589
1,106.065,0.255,0.746
1,94.809,0.366,0.541
1,110.583,0.795,0.629
1,123.452,0.224,0.688
0,116.728,0.503,0.403
0,110.785,0.472,0.598
0,69.915,0.275,0.636
1,94.815,0.434,0.473
1,132.627,0.695,0.641
1,96.52,0.861,0.529
1,144.778,0.421,0.548
1,83.957,0.601,0.757
0,130.174,0.67,0.719
0,122.579,0.442,0.526
1,127.101,0.67,0.607
1,101.047,0.618,0.641
1,170.326,0.599,0.496
0,96.959,0.531,0.585
1,90.404,0.176,0.766
0,90.601,0.223,0.401
0,140.2,0.458,0.734
0,86.153,0.671,0.531
1,113.038,0.488,0.651
1,176.455,0.666,0.323
1,133.75,0.677,0.685
0,113.603,0.366,0.418
0,126.339,0.26,0.48
1,82.298,0.28,0.361
0,100.514,0.0542,0.27
0,86.982,0.0551,0.66
1,114.864,0.542,0.715
1,104.505,0.675,0.402
1,149.0,0.526,0.646
1,98.645,0.434,0.511
1,70.233,0.114,0.326
